step,samples,episodes_seen,epoch,loss,gradient_norm,learning_rate,update_seconds,data_seconds
100,800,2,0.03,0.270,2.551,5.1e-06,0.099,0.357
200,1600,3,0.05,0.133,1.460,1.5e-05,0.093,0.351
300,2400,5,0.08,0.102,1.214,2.5e-05,0.094,0.354
400,3200,6,0.10,0.080,1.045,3.5e-05,0.093,0.359
500,4000,8,0.13,0.067,1.115,4.5e-05,0.094,0.360
600,4800,9,0.16,0.065,1.100,5.5e-05,0.094,0.358
700,5600,11,0.18,0.065,1.110,6.5e-05,0.093,0.356
800,6400,13,0.21,0.067,1.158,7.5e-05,0.093,0.362
900,7200,14,0.24,0.066,1.112,8.5e-05,0.093,0.351
1000,8000,16,0.26,0.073,1.176,9.5e-05,0.094,0.342
1100,8800,17,0.29,0.073,1.129,1.0e-04,0.094,0.364
1200,9600,19,0.31,0.067,1.037,1.0e-04,0.094,0.355
1300,10400,20,0.34,0.063,1.010,1.0e-04,0.094,0.349
1400,11200,22,0.37,0.059,0.925,1.0e-04,0.094,0.357
1500,12000,24,0.39,0.059,0.906,9.9e-05,0.094,0.365
1600,12800,25,0.42,0.062,0.969,9.9e-05,0.093,0.364
1700,13600,27,0.45,0.058,0.856,9.9e-05,0.094,0.359
1800,14400,28,0.47,0.054,0.849,9.9e-05,0.093,0.356
1900,15200,30,0.50,0.057,0.841,9.9e-05,0.093,0.351
2000,16000,31,0.52,0.054,0.792,9.9e-05,0.,0.355
2100,16800,33,0.55,0.049,0.800,9.9e-05,0.094,0.365
2200,17600,35,0.58,0.050,0.807,9.9e-05,0.094,0.364
2300,18400,36,0.60,0.050,0.781,9.9e-05,0.093,0.357
2400,19200,38,0.63,0.049,0.772,9.9e-05,0.094,0.374
2500,20000,39,0.65,0.053,0.794,9.8e-05,0.094,0.347
2600,20800,41,0.68,0.047,0.741,9.8e-05,0.094,0.359
2700,21600,42,0.71,0.049,0.741,9.8e-05,0.094,0.352
2800,22400,44,0.73,0.047,0.742,9.8e-05,0.094,0.357
2900,23200,46,0.76,0.046,0.702,9.8e-05,0.093,0.374
3000,24000,47,0.79,0.047,0.725,9.8e-05,0.094,0.351
3100,24800,49,0.81,0.043,0.731,9.8e-05,0.094,0.363
3200,25600,50,0.84,0.045,0.702,9.7e-05,0.093,0.338
3300,26400,52,0.86,0.043,0.678,9.7e-05,0.094,0.359
3400,27200,53,0.89,0.041,0.667,9.7e-05,0.093,0.358
3500,28000,55,0.92,0.040,0.650,9.7e-05,0.094,0.349
3600,28800,57,0.94,0.042,0.688,9.7e-05,0.094,0.352
3700,29600,58,0.97,0.040,0.651,9.6e-05,0.094,0.347
3800,30400,60,1.00,0.039,0.655,9.6e-05,0.094,0.359
3900,31200,61,1.02,0.037,0.619,9.6e-05,0.094,0.397
4000,32000,63,1.05,0.039,0.625,9.6e-05,0.094,0.381
4100,32800,64,1.07,0.037,0.636,9.6e-05,0.093,0.378
4200,33600,66,1.10,0.037,0.612,9.5e-05,0.093,0.403
4300,34400,68,1.13,0.038,0.651,9.5e-05,0.093,0.389
4400,35200,69,1.15,0.037,0.587,9.5e-05,0.093,0.404
4500,36000,71,1.18,0.034,0.575,9.5e-05,0.094,0.395
4600,36800,72,1.20,0.039,0.652,9.5e-05,0.093,0.409
4700,37600,74,1.23,0.034,0.578,9.4e-05,0.093,0.395
4800,38400,75,1.26,0.035,0.603,9.4e-05,0.093,0.398
4900,39200,77,1.28,0.035,0.595,9.4e-05,0.093,0.390
5000,40000,79,1.31,0.037,0.618,9.4e-05,0.093,0.403
5100,40800,80,1.34,0.034,0.586,9.3e-05,0.093,0.394
5200,41600,82,1.36,0.035,0.580,9.3e-05,0.093,0.371
5300,42400,83,1.39,0.034,0.580,9.3e-05,0.093,0.381
5400,43200,85,1.41,0.035,0.559,9.3e-05,0.093,0.396
5500,44000,86,1.44,0.033,0.588,9.2e-05,0.093,0.411
5600,44800,88,1.47,0.035,0.557,9.2e-05,0.093,0.386
5700,45600,90,1.49,0.033,0.537,9.2e-05,0.093,0.401
5800,46400,91,1.52,0.034,0.566,9.1e-05,0.094,0.391
5900,47200,93,1.55,0.033,0.560,9.1e-05,0.093,0.381
6000,48000,94,1.57,0.033,0.561,9.1e-05,0.093,0.396
6100,48800,96,1.60,0.032,0.574,9.1e-05,0.093,0.383
6200,49600,97,1.62,0.030,0.525,9.0e-05,0.094,0.380
6300,50400,99,1.65,0.032,0.548,9.0e-05,0.094,0.372
6400,51200,101,1.68,0.031,0.545,9.0e-05,0.093,0.393
6500,52000,102,1.70,0.030,0.574,8.9e-05,0.093,0.407
6600,52800,104,1.73,0.033,0.543,8.9e-05,0.094,0.375
6700,53600,105,1.75,0.030,0.525,8.9e-05,0.093,0.395
6800,54400,107,1.78,0.030,0.536,8.8e-05,0.093,0.392
6900,55200,108,1.81,0.032,0.548,8.8e-05,0.093,0.403
7000,56000,110,1.83,0.030,0.535,8.8e-05,0.093,0.403
7100,56800,112,1.86,0.029,0.496,8.7e-05,0.093,0.393
7200,57600,113,1.89,0.031,0.506,8.7e-05,0.093,0.382
7300,58400,115,1.91,0.032,0.516,8.7e-05,0.093,0.384
7400,59200,116,1.94,0.031,0.523,8.6e-05,0.095,0.397
7500,60000,118,1.96,0.028,0.505,8.6e-05,0.093,0.395
7600,60800,119,1.99,0.029,0.504,8.6e-05,0.093,0.385
7700,61600,121,2.02,0.027,0.477,8.5e-05,0.093,0.381
7800,62400,123,2.04,0.031,0.522,8.5e-05,0.094,0.383
7900,63200,124,2.07,0.028,0.475,8.4e-05,0.093,0.396
8000,64000,126,2.10,0.025,0.484,8.4e-05,0.094,0.400
8100,64800,127,2.12,0.027,0.469,8.4e-05,0.094,0.397
8200,65600,129,2.15,0.028,0.492,8.3e-05,0.093,0.404
8300,66400,130,2.17,0.026,0.481,8.3e-05,0.093,0.402
8400,67200,132,2.20,0.025,0.465,8.3e-05,0.093,0.385
8500,68000,134,2.23,0.026,0.484,8.2e-05,0.093,0.410
8600,68800,135,2.25,0.026,0.467,8.2e-05,0.093,0.396
8700,69600,137,2.28,0.026,0.458,8.1e-05,0.093,0.405
8800,70400,138,2.30,0.025,0.467,8.1e-05,0.093,0.387
8900,71200,140,2.33,0.023,0.424,8.1e-05,0.093,0.394
9000,72000,141,2.36,0.027,0.480,8.0e-05,0.094,0.389
9100,72800,143,2.38,0.025,0.465,8.0e-05,0.093,0.407
9200,73600,145,2.41,0.023,0.439,7.9e-05,0.093,0.394
9300,74400,146,2.44,0.024,0.442,7.9e-05,0.093,0.392
9400,75200,148,2.46,0.024,0.447,7.8e-05,0.093,0.398
9500,76000,149,2.49,0.025,0.470,7.8e-05,0.093,0.402
9600,76800,151,2.51,0.026,0.457,7.8e-05,0.094,0.381
9700,77600,152,2.54,0.027,0.478,7.7e-05,0.094,0.399
9800,78400,154,2.57,0.025,0.477,7.7e-05,0.093,0.401
9900,79200,156,2.59,0.024,0.448,7.6e-05,0.093,0.385
10000,80000,157,2.62,0.025,0.449,7.6e-05,0.094,0.399
10100,80800,159,2.65,0.022,0.421,7.5e-05,0.093,0.390
10200,81600,160,2.67,0.024,0.463,7.5e-05,0.093,0.419
10300,82400,162,2.70,0.024,0.427,7.5e-05,0.094,0.379
10400,83200,163,2.72,0.022,0.459,7.4e-05,0.093,0.399
10500,84000,165,2.75,0.024,0.437,7.4e-05,0.093,0.398
10600,84800,167,2.78,0.025,0.435,7.3e-05,0.093,0.393
10700,85600,168,2.80,0.022,0.420,7.3e-05,0.094,0.387
10800,86400,170,2.83,0.021,0.404,7.2e-05,0.093,0.395
10900,87200,171,2.85,0.024,0.456,7.2e-05,0.093,0.389
11000,88000,173,2.88,0.023,0.423,7.1e-05,0.094,0.387
11100,88800,174,2.91,0.025,0.447,7.1e-05,0.093,0.408
11200,89600,176,2.93,0.022,0.425,7.0e-05,0.093,0.396
11300,90400,178,2.96,0.021,0.392,7.0e-05,0.093,0.385
11400,91200,179,2.99,0.023,0.416,6.9e-05,0.093,0.417
11500,92000,181,3.01,0.023,0.421,6.9e-05,0.093,0.381
11600,92800,182,3.04,0.020,0.394,6.8e-05,0.093,0.388
11700,93600,184,3.06,0.020,0.404,6.8e-05,0.093,0.404
11800,94400,185,3.09,0.021,0.394,6.8e-05,0.093,0.388
11900,95200,187,3.12,0.022,0.413,6.7e-05,0.093,0.398
12000,96000,189,3.14,0.022,0.411,6.7e-05,0.093,0.383
12100,96800,190,3.17,0.021,0.410,6.6e-05,0.093,0.394
12200,97600,192,3.20,0.020,0.396,6.6e-05,0.093,0.400
12300,98400,193,3.22,0.019,0.373,6.5e-05,0.093,0.385
12400,99200,195,3.25,0.021,0.398,6.5e-05,0.093,0.387
12500,100000,196,3.27,0.020,0.386,6.4e-05,0.093,0.375
12600,100800,198,3.30,0.021,0.383,6.4e-05,0.094,0.387
12700,101600,200,3.33,0.021,0.403,6.3e-05,0.093,0.399
12800,102400,201,3.35,0.020,0.394,6.3e-05,0.093,0.393
12900,103200,203,3.38,0.019,0.373,6.2e-05,0.093,0.389
13000,104000,204,3.40,0.019,0.371,6.2e-05,0.093,0.407
13100,104800,206,3.43,0.018,0.369,6.1e-05,0.093,0.402
