episode,firm_grasp_detected,firm_grasp_frame,firm_grasp_seconds_30fps,review_start_seconds,review_end_seconds
erase_the_circle_0805-183247,True,388,12.933,10.933,14.933
erase_the_circle_0805-183402,True,301,10.033,8.033,12.033
erase_the_circle_0805-183515,True,273,9.100,7.100,11.100
erase_the_circle_0805-183623,True,281,9.367,7.367,11.367
erase_the_circle_0805-183739,True,273,9.100,7.100,11.100
erase_the_circle_0805-184029,True,277,9.233,7.233,11.233
erase_the_circle_0805-184141,True,303,10.100,8.100,12.100
erase_the_circle_0805-184247,True,254,8.467,6.467,10.467
erase_the_circle_0805-184359,True,278,9.267,7.267,11.267
erase_the_circle_0805-184700,True,262,8.733,6.733,10.733
erase_the_circle_0805-184814,True,282,9.400,7.400,11.400
erase_the_circle_0805-184920,True,275,9.167,7.167,11.167
erase_the_circle_0805-185025,True,247,8.233,6.233,10.233
erase_the_circle_0805-185133,True,250,8.333,6.333,10.333
erase_the_circle_0805-185457,True,257,8.567,6.567,10.567
erase_the_triangle_0805-181350,True,281,9.367,7.367,11.367
erase_the_triangle_0805-181507,True,243,8.100,6.100,10.100
erase_the_triangle_0805-181611,True,260,8.667,6.667,10.667
erase_the_triangle_0805-181720,True,238,7.933,5.933,9.933
erase_the_triangle_0805-181826,True,199,6.633,4.633,8.633
erase_the_triangle_0805-181925,True,234,7.800,5.800,9.800
erase_the_triangle_0805-182031,True,221,7.367,5.367,9.367
erase_the_triangle_0805-182226,True,253,8.433,6.433,10.433
erase_the_triangle_0805-182327,True,320,10.667,8.667,12.667
erase_the_triangle_0805-182433,True,242,8.067,6.067,10.067
erase_the_triangle_0805-182542,True,257,8.567,6.567,10.567
erase_the_triangle_0805-182811,True,220,7.333,5.333,9.333
erase_the_triangle_0805-182918,True,272,9.067,7.067,11.067
erase_the_triangle_0805-183021,True,317,10.567,8.567,12.567
erase_the_triangle_0805-183131,True,325,10.833,8.833,12.833
