asset_path,shape,source_center_x,source_center_y,source_width,source_height,source_x,source_y,manifest
C:\jmbaek\ugrp\candidate_assets\records_105\circle\01_erase_the_circle_0726-162803.png,circle,454.0,512.0,120,112,376,438,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\02_erase_the_circle_0726-163254.png,circle,444.0,485.0,118,108,367,413,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\03_erase_the_circle_0726-163611.png,circle,442.0,476.5,134,129,357,394,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\04_erase_the_circle_0726-163930.png,circle,446.0,499.5,148,135,354,414,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\05_erase_the_circle_0726-164049.png,circle,604.0,505.5,136,125,518,425,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\06_erase_the_circle_0726-164200.png,circle,608.0,479.0,140,128,520,397,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\07_erase_the_circle_0726-164325.png,circle,599.0,478.5,126,119,518,401,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\08_erase_the_circle_0726-164510.png,circle,618.5,484.0,125,116,538,408,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\09_erase_the_circle_0726-165719.png,circle,599.5,75.5,147,145,508,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\100_erase_the_circle_0813-121625.png,circle,589.0,452.5,154,139,494,365,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\101_erase_the_circle_0813-121727.png,circle,613.0,140.5,160,147,515,49,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\102_erase_the_circle_0813-121829.png,circle,444.0,125.0,154,148,349,33,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\103_erase_the_circle_0813-212950.png,circle,328.5,481.5,107,117,257,405,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\104_erase_the_circle_0813-213111.png,circle,316.5,121.0,127,138,235,34,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\105_erase_the_circle_0813-213220.png,circle,437.5,133.0,125,120,357,55,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\10_erase_the_circle_0726-165848.png,circle,582.5,137.5,107,105,511,67,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\11_erase_the_circle_0726-170001.png,circle,580.5,142.5,109,105,508,72,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\12_erase_the_circle_0726-170124.png,circle,585.0,136.5,110,99,512,69,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\13_erase_the_circle_0727-110917.png,circle,419.0,69.5,156,139,323,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\14_erase_the_circle_0727-111036.png,circle,417.5,83.5,133,131,333,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\15_erase_the_circle_0727-111212.png,circle,414.5,77.0,137,128,328,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\16_erase_the_circle_0727-111340.png,circle,419.0,78.5,130,131,336,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\17_erase_the_circle_0727-111813.png,circle,386.5,520.5,107,105,315,450,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\18_erase_the_circle_0727-111943.png,circle,560.0,488.0,124,120,480,410,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\19_erase_the_circle_0727-112133.png,circle,577.5,87.0,117,106,501,16,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\20_erase_the_circle_0727-112529.png,circle,363.0,106.5,128,113,281,32,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\21_erase_the_circle_0802-130542.png,circle,436.5,461.5,127,117,355,385,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\22_erase_the_circle_0802-130825.png,circle,430.5,148.5,131,151,347,55,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\23_erase_the_circle_0802-130939.png,circle,538.5,444.0,101,102,470,375,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\24_erase_the_circle_0802-131058.png,circle,513.5,162.0,111,114,440,87,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\25_erase_the_circle_0802-131216.png,circle,310.5,444.5,109,107,238,373,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\26_erase_the_circle_0802-131420.png,circle,330.5,177.5,115,113,255,103,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\27_erase_the_circle_0802-132022.png,circle,450.0,509.5,158,157,353,413,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\28_erase_the_circle_0802-132211.png,circle,439.5,135.5,127,133,358,51,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\29_erase_the_circle_0802-132330.png,circle,528.0,501.0,126,132,447,417,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\30_erase_the_circle_0802-132443.png,circle,523.0,148.5,144,141,433,60,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\31_erase_the_circle_0802-132838.png,circle,326.5,78.5,131,121,243,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\32_erase_the_circle_0802-132954.png,circle,458.0,556.0,140,122,370,477,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\33_erase_the_circle_0802-133231.png,circle,420.5,79.0,153,144,326,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\34_erase_the_circle_0802-133354.png,circle,535.0,493.0,120,120,457,415,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\35_erase_the_circle_0802-133505.png,circle,509.5,95.5,125,129,429,13,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\36_erase_the_circle_0802-133624.png,circle,323.5,503.5,127,123,242,424,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\37_erase_the_circle_0802-134056.png,circle,458.5,503.5,129,127,376,422,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\38_erase_the_circle_0802-134312.png,circle,562.5,500.0,129,128,480,418,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\39_erase_the_circle_0802-134917.png,circle,528.0,111.0,130,130,445,28,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\40_erase_the_circle_0802-135033.png,circle,322.5,486.0,97,96,256,420,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\41_erase_the_circle_0802-135317.png,circle,424.5,477.5,131,129,341,395,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\42_erase_the_circle_0802-135438.png,circle,441.5,131.0,133,138,357,44,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\43_erase_the_circle_0802-135558.png,circle,527.0,497.0,134,136,442,411,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\44_erase_the_circle_0802-135800.png,circle,533.0,132.0,130,124,450,52,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\45_erase_the_circle_0802-135912.png,circle,438.5,475.5,133,133,354,391,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\46_erase_the_circle_0802-140037.png,circle,431.0,127.0,148,140,339,39,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\47_erase_the_circle_0802-145406.png,circle,474.0,441.0,112,112,400,367,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\48_erase_the_circle_0805-183247.png,circle,461.0,522.5,132,137,377,436,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\49_erase_the_circle_0805-183402.png,circle,443.5,125.0,143,138,354,38,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\50_erase_the_circle_0805-183515.png,circle,305.5,475.0,135,140,220,387,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\51_erase_the_circle_0805-183623.png,circle,307.5,117.5,139,141,220,29,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\52_erase_the_circle_0805-183739.png,circle,567.5,477.0,143,146,478,386,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\53_erase_the_circle_0805-184029.png,circle,521.0,110.0,138,142,434,21,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\54_erase_the_circle_0805-184141.png,circle,445.5,468.0,127,130,364,385,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\55_erase_the_circle_0805-184247.png,circle,406.5,146.5,149,155,314,51,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\56_erase_the_circle_0805-184359.png,circle,313.0,489.0,140,144,225,399,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
