input,output,x,y,w,h,crop_x,crop_y,crop_w,crop_h,score,fill_ratio,circularity
source_frames\records_105\circle\01_erase_the_circle_0726-162803.png,candidate_assets\records_105\circle\01_erase_the_circle_0726-162803.png,394,456,120,112,376,438,156,148,4.515591,0.063095,0.80003
source_frames\records_105\circle\02_erase_the_circle_0726-163254.png,candidate_assets\records_105\circle\02_erase_the_circle_0726-163254.png,385,431,118,108,367,413,154,144,4.637568,0.065129,0.893942
source_frames\records_105\circle\03_erase_the_circle_0726-163611.png,candidate_assets\records_105\circle\03_erase_the_circle_0726-163611.png,375,412,134,129,357,394,170,165,4.852602,0.056635,0.890255
source_frames\records_105\circle\04_erase_the_circle_0726-163930.png,candidate_assets\records_105\circle\04_erase_the_circle_0726-163930.png,372,432,148,135,354,414,184,171,4.755422,0.053754,0.8819
source_frames\records_105\circle\05_erase_the_circle_0726-164049.png,candidate_assets\records_105\circle\05_erase_the_circle_0726-164049.png,536,443,136,125,518,425,172,161,4.706041,0.058235,0.877106
source_frames\records_105\circle\06_erase_the_circle_0726-164200.png,candidate_assets\records_105\circle\06_erase_the_circle_0726-164200.png,538,415,140,128,520,397,176,164,4.737225,0.056696,0.889602
source_frames\records_105\circle\07_erase_the_circle_0726-164325.png,candidate_assets\records_105\circle\07_erase_the_circle_0726-164325.png,536,419,126,119,518,401,162,155,4.729507,0.063959,0.882649
source_frames\records_105\circle\08_erase_the_circle_0726-164510.png,candidate_assets\records_105\circle\08_erase_the_circle_0726-164510.png,556,426,125,116,538,408,161,152,4.658345,0.070276,0.884234
source_frames\records_105\circle\09_erase_the_circle_0726-165719.png,candidate_assets\records_105\circle\09_erase_the_circle_0726-165719.png,526,3,147,145,508,0,183,166,4.997318,0.04973,0.893066
source_frames\records_105\circle\100_erase_the_circle_0813-121625.png,candidate_assets\records_105\circle\100_erase_the_circle_0813-121625.png,512,383,154,139,494,365,190,175,4.723833,0.062459,0.887441
source_frames\records_105\circle\101_erase_the_circle_0813-121727.png,candidate_assets\records_105\circle\101_erase_the_circle_0813-121727.png,533,67,160,147,515,49,196,183,3.064191,0.05676,0.011359
source_frames\records_105\circle\102_erase_the_circle_0813-121829.png,candidate_assets\records_105\circle\102_erase_the_circle_0813-121829.png,367,51,154,148,349,33,190,184,4.93663,0.051465,0.887171
source_frames\records_105\circle\103_erase_the_circle_0813-212950.png,candidate_assets\records_105\circle\103_erase_the_circle_0813-212950.png,275,423,107,117,257,405,143,153,4.71734,0.04577,0.889912
source_frames\records_105\circle\104_erase_the_circle_0813-213111.png,candidate_assets\records_105\circle\104_erase_the_circle_0813-213111.png,253,52,127,138,235,34,163,174,4.822089,0.03937,0.885264
source_frames\records_105\circle\105_erase_the_circle_0813-213220.png,candidate_assets\records_105\circle\105_erase_the_circle_0813-213220.png,375,73,125,120,357,55,161,156,3.117346,0.037667,0.004904
source_frames\records_105\circle\10_erase_the_circle_0726-165848.png,candidate_assets\records_105\circle\10_erase_the_circle_0726-165848.png,529,85,107,105,511,67,143,141,4.71667,0.078327,0.892113
source_frames\records_105\circle\11_erase_the_circle_0726-170001.png,candidate_assets\records_105\circle\11_erase_the_circle_0726-170001.png,526,90,109,105,508,72,145,141,4.660087,0.077501,0.881218
source_frames\records_105\circle\12_erase_the_circle_0726-170124.png,candidate_assets\records_105\circle\12_erase_the_circle_0726-170124.png,530,87,110,99,512,69,146,135,4.506137,0.074472,0.882739
source_frames\records_105\circle\13_erase_the_circle_0727-110917.png,candidate_assets\records_105\circle\13_erase_the_circle_0727-110917.png,341,0,156,139,323,0,192,157,3.038292,0.037539,0.009219
source_frames\records_105\circle\14_erase_the_circle_0727-111036.png,candidate_assets\records_105\circle\14_erase_the_circle_0727-111036.png,351,18,133,131,333,0,169,167,4.888124,0.059576,0.886559
source_frames\records_105\circle\15_erase_the_circle_0727-111212.png,candidate_assets\records_105\circle\15_erase_the_circle_0727-111212.png,346,13,137,128,328,0,173,159,3.025453,0.056626,0.010138
source_frames\records_105\circle\16_erase_the_circle_0727-111340.png,candidate_assets\records_105\circle\16_erase_the_circle_0727-111340.png,354,13,130,131,336,0,166,162,4.899911,0.06054,0.888669
source_frames\records_105\circle\17_erase_the_circle_0727-111813.png,candidate_assets\records_105\circle\17_erase_the_circle_0727-111813.png,333,468,107,105,315,450,143,141,4.716651,0.076012,0.887475
source_frames\records_105\circle\18_erase_the_circle_0727-111943.png,candidate_assets\records_105\circle\18_erase_the_circle_0727-111943.png,498,428,124,120,480,410,160,156,4.795193,0.060551,0.881263
source_frames\records_105\circle\19_erase_the_circle_0727-112133.png,candidate_assets\records_105\circle\19_erase_the_circle_0727-112133.png,519,34,117,106,501,16,153,142,4.555461,0.069827,0.877313
source_frames\records_105\circle\20_erase_the_circle_0727-112529.png,candidate_assets\records_105\circle\20_erase_the_circle_0727-112529.png,299,50,128,113,281,32,164,149,4.505526,0.066233,0.860665
source_frames\records_105\circle\21_erase_the_circle_0802-130542.png,candidate_assets\records_105\circle\21_erase_the_circle_0802-130542.png,373,403,127,117,355,385,163,153,4.686046,0.059425,0.882344
source_frames\records_105\circle\22_erase_the_circle_0802-130825.png,candidate_assets\records_105\circle\22_erase_the_circle_0802-130825.png,365,73,131,151,347,55,167,187,4.699968,0.043072,0.876655
source_frames\records_105\circle\23_erase_the_circle_0802-130939.png,candidate_assets\records_105\circle\23_erase_the_circle_0802-130939.png,488,393,101,102,470,375,137,138,4.779372,0.059988,0.885236
source_frames\records_105\circle\24_erase_the_circle_0802-131058.png,candidate_assets\records_105\circle\24_erase_the_circle_0802-131058.png,458,105,111,114,440,87,147,150,4.808586,0.056425,0.889997
source_frames\records_105\circle\25_erase_the_circle_0802-131216.png,candidate_assets\records_105\circle\25_erase_the_circle_0802-131216.png,256,391,109,107,238,373,145,143,4.797674,0.060705,0.893169
source_frames\records_105\circle\26_erase_the_circle_0802-131420.png,candidate_assets\records_105\circle\26_erase_the_circle_0802-131420.png,273,121,115,113,255,103,151,149,4.855427,0.048172,0.88445
source_frames\records_105\circle\27_erase_the_circle_0802-132022.png,candidate_assets\records_105\circle\27_erase_the_circle_0802-132022.png,371,431,158,157,353,413,194,193,5.108994,0.035233,0.88941
source_frames\records_105\circle\28_erase_the_circle_0802-132211.png,candidate_assets\records_105\circle\28_erase_the_circle_0802-132211.png,376,69,127,133,358,51,163,169,4.863355,0.039844,0.872247
source_frames\records_105\circle\29_erase_the_circle_0802-132330.png,candidate_assets\records_105\circle\29_erase_the_circle_0802-132330.png,465,435,126,132,447,417,162,168,4.893759,0.040164,0.890353
source_frames\records_105\circle\30_erase_the_circle_0802-132443.png,candidate_assets\records_105\circle\30_erase_the_circle_0802-132443.png,451,78,144,141,433,60,180,177,3.285653,0.025167,0.003284
source_frames\records_105\circle\31_erase_the_circle_0802-132838.png,candidate_assets\records_105\circle\31_erase_the_circle_0802-132838.png,261,18,131,121,243,0,167,157,4.777732,0.04025,0.879318
source_frames\records_105\circle\32_erase_the_circle_0802-132954.png,candidate_assets\records_105\circle\32_erase_the_circle_0802-132954.png,388,495,140,122,370,477,176,158,4.660623,0.040984,0.885204
source_frames\records_105\circle\33_erase_the_circle_0802-133231.png,candidate_assets\records_105\circle\33_erase_the_circle_0802-133231.png,344,7,153,144,326,0,189,169,4.961703,0.034405,0.895238
source_frames\records_105\circle\34_erase_the_circle_0802-133354.png,candidate_assets\records_105\circle\34_erase_the_circle_0802-133354.png,475,433,120,120,457,415,156,156,4.943665,0.038125,0.877313
source_frames\records_105\circle\35_erase_the_circle_0802-133505.png,candidate_assets\records_105\circle\35_erase_the_circle_0802-133505.png,447,31,125,129,429,13,161,165,4.918238,0.040496,0.890734
source_frames\records_105\circle\36_erase_the_circle_0802-133624.png,candidate_assets\records_105\circle\36_erase_the_circle_0802-133624.png,260,442,127,123,242,424,163,158,manual_recrop,manual_recrop,manual_recrop
source_frames\records_105\circle\37_erase_the_circle_0802-134056.png,candidate_assets\records_105\circle\37_erase_the_circle_0802-134056.png,394,440,129,127,376,422,165,163,4.990293,0.03174,0.890144
source_frames\records_105\circle\38_erase_the_circle_0802-134312.png,candidate_assets\records_105\circle\38_erase_the_circle_0802-134312.png,498,436,129,128,480,418,165,164,5.010217,0.035974,0.898715
source_frames\records_105\circle\39_erase_the_circle_0802-134917.png,candidate_assets\records_105\circle\39_erase_the_circle_0802-134917.png,463,46,130,130,445,28,166,166,4.979962,0.042899,0.88578
source_frames\records_105\circle\40_erase_the_circle_0802-135033.png,candidate_assets\records_105\circle\40_erase_the_circle_0802-135033.png,274,438,97,96,256,420,133,132,4.752368,0.056164,0.874314
source_frames\records_105\circle\41_erase_the_circle_0802-135317.png,candidate_assets\records_105\circle\41_erase_the_circle_0802-135317.png,359,413,131,129,341,395,167,165,4.956055,0.040535,0.886524
source_frames\records_105\circle\42_erase_the_circle_0802-135438.png,candidate_assets\records_105\circle\42_erase_the_circle_0802-135438.png,375,62,133,138,357,44,169,174,4.956083,0.037267,0.893038
source_frames\records_105\circle\43_erase_the_circle_0802-135558.png,candidate_assets\records_105\circle\43_erase_the_circle_0802-135558.png,460,429,134,136,442,411,170,172,5.004233,0.036435,0.892001
source_frames\records_105\circle\44_erase_the_circle_0802-135800.png,candidate_assets\records_105\circle\44_erase_the_circle_0802-135800.png,468,70,130,124,450,52,166,160,3.149485,0.029404,0.003477
source_frames\records_105\circle\45_erase_the_circle_0802-135912.png,candidate_assets\records_105\circle\45_erase_the_circle_0802-135912.png,372,409,133,133,354,391,169,169,3.247022,0.038612,0.004965
source_frames\records_105\circle\46_erase_the_circle_0802-140037.png,candidate_assets\records_105\circle\46_erase_the_circle_0802-140037.png,357,57,148,140,339,39,184,176,4.872334,0.029392,0.842863
source_frames\records_105\circle\47_erase_the_circle_0802-145406.png,candidate_assets\records_105\circle\47_erase_the_circle_0802-145406.png,418,385,112,112,400,367,148,148,4.90057,0.050383,0.895666
source_frames\records_105\circle\48_erase_the_circle_0805-183247.png,candidate_assets\records_105\circle\48_erase_the_circle_0805-183247.png,395,454,132,137,377,436,168,173,3.12301,0.052699,0.009552
source_frames\records_105\circle\49_erase_the_circle_0805-183402.png,candidate_assets\records_105\circle\49_erase_the_circle_0805-183402.png,372,56,143,138,354,38,179,174,4.876745,0.057819,0.884858
source_frames\records_105\circle\50_erase_the_circle_0805-183515.png,candidate_assets\records_105\circle\50_erase_the_circle_0805-183515.png,238,405,135,140,220,387,171,176,4.860627,0.060106,0.886624
source_frames\records_105\circle\51_erase_the_circle_0805-183623.png,candidate_assets\records_105\circle\51_erase_the_circle_0805-183623.png,238,47,139,141,220,29,175,177,4.934914,0.056789,0.887911
source_frames\records_105\circle\52_erase_the_circle_0805-183739.png,candidate_assets\records_105\circle\52_erase_the_circle_0805-183739.png,496,404,143,146,478,386,179,182,4.946358,0.050532,0.87979
source_frames\records_105\circle\53_erase_the_circle_0805-184029.png,candidate_assets\records_105\circle\53_erase_the_circle_0805-184029.png,452,39,138,142,434,21,174,178,4.909014,0.056797,0.890886
source_frames\records_105\circle\54_erase_the_circle_0805-184141.png,candidate_assets\records_105\circle\54_erase_the_circle_0805-184141.png,382,403,127,130,364,385,163,166,4.829196,0.065173,0.883789
source_frames\records_105\circle\55_erase_the_circle_0805-184247.png,candidate_assets\records_105\circle\55_erase_the_circle_0805-184247.png,332,69,149,155,314,51,185,191,4.913102,0.058281,0.885284
source_frames\records_105\circle\56_erase_the_circle_0805-184359.png,candidate_assets\records_105\circle\56_erase_the_circle_0805-184359.png,243,417,140,144,225,399,176,180,4.902197,0.061012,0.891669
source_frames\records_105\circle\57_erase_the_circle_0805-184700.png,candidate_assets\records_105\circle\57_erase_the_circle_0805-184700.png,245,64,150,151,227,46,186,187,5.004352,0.055011,0.890359
source_frames\records_105\circle\58_erase_the_circle_0805-184814.png,candidate_assets\records_105\circle\58_erase_the_circle_0805-184814.png,484,447,132,143,466,429,168,179,4.750242,0.064156,0.886509
source_frames\records_105\circle\59_erase_the_circle_0805-184920.png,candidate_assets\records_105\circle\59_erase_the_circle_0805-184920.png,440,60,139,136,422,42,175,172,4.881498,0.060305,0.881879
source_frames\records_105\circle\60_erase_the_circle_0805-185025.png,candidate_assets\records_105\circle\60_erase_the_circle_0805-185025.png,361,465,153,159,343,447,189,195,4.977404,0.052452,0.897111
