input,output,x,y,w,h,crop_x,crop_y,crop_w,crop_h,score,fill_ratio,approx_vertices
source_frames\records_105\rectangle\01_erase_the_rectangle_0727-120251.png,candidate_assets\records_105\rectangle\1.png,375,386,125,148,357,368,161,184,3.805904,0.072811,4
source_frames\records_105\rectangle\02_erase_the_rectangle_0727-120407.png,candidate_assets\records_105\rectangle\2.png,365,398,136,141,347,380,172,177,4.085029,0.073425,4
source_frames\records_105\rectangle\03_erase_the_rectangle_0727-120609.png,candidate_assets\records_105\rectangle\3.png,368,398,134,141,350,380,170,177,4.08636,0.065947,4
source_frames\records_105\rectangle\04_erase_the_rectangle_0727-120733.png,candidate_assets\records_105\rectangle\4.png,363,400,151,138,345,382,187,174,3.988923,0.070688,4
source_frames\records_105\rectangle\05_erase_the_rectangle_0727-121003.png,candidate_assets\records_105\rectangle\5.png,361,399,144,137,343,381,180,173,4.094745,0.065998,8
source_frames\records_105\rectangle\06_erase_the_rectangle_0727-121135.png,candidate_assets\records_105\rectangle\6.png,514,389,135,141,496,371,171,177,4.065067,0.073811,4
source_frames\records_105\rectangle\07_erase_the_rectangle_0727-121305.png,candidate_assets\records_105\rectangle\7.png,514,377,141,144,496,359,177,180,4.222124,0.055703,8
source_frames\records_105\rectangle\08_erase_the_rectangle_0727-121435.png,candidate_assets\records_105\rectangle\8.png,518,387,137,126,500,369,173,162,3.974304,0.067142,8
source_frames\records_105\rectangle\09_erase_the_rectangle_0727-121601.png,candidate_assets\records_105\rectangle\9.png,507,372,139,133,489,354,175,169,4.09081,0.066101,4
source_frames\records_105\rectangle\100_erase_the_rectangle_0813-185522.png,candidate_assets\records_105\rectangle\10.png,373,71,108,124,355,53,144,160,3.912398,0.048984,4
source_frames\records_105\rectangle\101_erase_the_rectangle_0813-185632.png,candidate_assets\records_105\rectangle\11.png,481,390,119,112,463,372,155,148,4.050667,0.05102,4
source_frames\records_105\rectangle\102_erase_the_rectangle_0813-214244.png,candidate_assets\records_105\rectangle\12.png,385,405,133,125,367,387,169,161,4.114574,0.047639,4
