input,output,x,y,w,h,crop_x,crop_y,crop_w,crop_h,score,fill_ratio,approx_vertices,solidity
source_frames\records_105\triangle\01_erase_the_triangle_0727-113015.png,candidate_assets\records_105\triangle\1.png,337,471,72,104,319,453,108,140,5.053028,0.094952,3,0.908557
source_frames\records_105\triangle\02_erase_the_triangle_0727-113147.png,candidate_assets\records_105\triangle\2.png,323,464,95,119,305,446,131,155,5.242684,0.071915,3,0.885194
source_frames\records_105\triangle\03_erase_the_triangle_0727-113311.png,candidate_assets\records_105\triangle\3.png,310,452,106,142,292,434,142,178,5.462609,0.059195,3,0.954412
source_frames\records_105\triangle\04_erase_the_triangle_0727-113437.png,candidate_assets\records_105\triangle\4.png,303,467,110,125,285,449,146,161,5.344996,0.061455,3,0.959192
source_frames\records_105\triangle\05_erase_the_triangle_0727-113600.png,candidate_assets\records_105\triangle\5.png,320,475,108,129,302,457,144,165,5.393714,0.060436,3,0.967721
source_frames\records_105\triangle\06_erase_the_triangle_0727-113710.png,candidate_assets\records_105\triangle\6.png,532,429,103,141,514,411,139,177,2.069942,0.052882,6,0.0577
source_frames\records_105\triangle\07_erase_the_triangle_0727-113836.png,candidate_assets\records_105\triangle\7.png,519,423,95,131,501,405,131,167,1.989794,0.063881,6,0.068624
source_frames\records_105\triangle\08_erase_the_triangle_0727-113957.png,candidate_assets\records_105\triangle\8.png,536,466,98,111,518,448,134,147,5.190726,0.074922,3,0.921295
source_frames\records_105\triangle\09_erase_the_triangle_0727-114215.png,candidate_assets\records_105\triangle\9.png,548,408,106,140,530,390,142,176,5.452853,0.059232,3,0.948463
source_frames\records_105\triangle\100_erase_the_triangle_0813-121931.png,candidate_assets\records_105\triangle\10.png,350,445,123,133,332,427,159,169,5.306827,0.068708,3,0.952104
source_frames\records_105\triangle\101_erase_the_triangle_0813-122030.png,candidate_assets\records_105\triangle\11.png,535,376,124,148,517,358,160,184,2.06659,0.058195,6,0.068482
source_frames\records_105\triangle\102_erase_the_triangle_0813-122131.png,candidate_assets\records_105\triangle\12.png,526,62,135,162,508,44,171,198,5.505703,0.055327,3,0.946441
source_frames\records_105\triangle\103_erase_the_triangle_0813-122239.png,candidate_assets\records_105\triangle\13.png,358,59,128,151,340,41,164,187,5.445571,0.057274,3,0.937317
source_frames\records_105\triangle\104_erase_the_triangle_0813-213328.png,candidate_assets\records_105\triangle\14.png,502,429,97,115,484,411,133,151,4.501251,0.042134,4,0.03232
source_frames\records_105\triangle\105_erase_the_triangle_0813-213932.png,candidate_assets\records_105\triangle\15.png,470,83,84,111,452,65,120,147,5.401102,0.051909,3,0.944327
source_frames\records_105\triangle\10_erase_the_triangle_0727-114335.png,candidate_assets\records_105\triangle\16.png,522,427,126,121,504,409,162,157,5.252475,0.059229,3,0.974556
source_frames\records_105\triangle\11_erase_the_triangle_0727-114515.png,candidate_assets\records_105\triangle\17.png,503,14,109,162,485,0,145,194,5.407134,0.051138,3,0.920756
source_frames\records_105\triangle\12_erase_the_triangle_0727-114643.png,candidate_assets\records_105\triangle\18.png,517,21,89,124,499,3,125,160,5.339183,0.065513,3,0.956698
source_frames\records_105\triangle\13_erase_the_triangle_0727-114759.png,candidate_assets\records_105\triangle\19.png,516,6,94,132,498,0,130,156,1.950077,0.06923,6,0.072565
source_frames\records_105\triangle\14_erase_the_triangle_0727-115143.png,candidate_assets\records_105\triangle\20.png,505,95,92,127,487,77,128,163,5.387719,0.06051,3,0.962014
source_frames\records_105\triangle\15_erase_the_triangle_0727-115349.png,candidate_assets\records_105\triangle\21.png,493,98,99,125,475,80,135,161,1.979429,0.066101,6,0.071165
source_frames\records_105\triangle\16_erase_the_triangle_0727-115509.png,candidate_assets\records_105\triangle\22.png,343,84,107,144,325,66,143,180,5.472177,0.058606,3,0.960612
