candidate,status,updated_at_utc
C:\jmbaek\ugrp\candidate_assets\records_105\circle\01_erase_the_circle_0726-162803.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\02_erase_the_circle_0726-163254.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\03_erase_the_circle_0726-163611.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\04_erase_the_circle_0726-163930.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\05_erase_the_circle_0726-164049.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\06_erase_the_circle_0726-164200.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\07_erase_the_circle_0726-164325.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\08_erase_the_circle_0726-164510.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\09_erase_the_circle_0726-165719.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\100_erase_the_circle_0813-121625.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\101_erase_the_circle_0813-121727.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\102_erase_the_circle_0813-121829.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\103_erase_the_circle_0813-212950.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\104_erase_the_circle_0813-213111.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\105_erase_the_circle_0813-213220.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\10_erase_the_circle_0726-165848.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\11_erase_the_circle_0726-170001.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\12_erase_the_circle_0726-170124.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\13_erase_the_circle_0727-110917.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\14_erase_the_circle_0727-111036.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\15_erase_the_circle_0727-111212.png,good,2026-08-14T12:13:46+00:00
